id,scrape_id,host_id,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,listings_count,listings_count_home,listings_count_p_rooms,listings_count_s_rooms,reviews_per_month
83515,20241229042348,455118,2011-03-21,100.0,97.0,1,1,Salt Spring Island,Salt Spring Island,48.86222,-123.49996,Entire guest suite,Entire home/apt,2,1.0,1.0,0.0,"[""Free parking on premises"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Backyard"", ""Refrigerator"", ""Courtyard view"", ""Shampoo"", ""Garden view"", ""Self check-in"", ""Essentials"", ""Heating"", ""Dryer"", ""Hot water"", ""Kitchen"", ""Wifi"", ""Building staff"", ""Breakfast"", ""Washer"", ""Coffee maker""]",175.0,2,730,1,8,23,44,289,2024-12-29,148,13,0,4.88,4.89,4.87,4.92,4.84,4.94,4.75,1,2.0,2,0,0,0.89
168460,20241229042348,802981,2011-07-10,100.0,87.10114503816794,0,0,James Bay,Victoria,48.4162,-123.3679,Entire townhouse,Entire home/apt,3,2.5,2.0,2.0,"[""Free parking on premises"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Shampoo"", ""Essentials"", ""Heating"", ""Dryer"", ""Private entrance"", ""TV with standard cable"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Pets allowed"", ""Washer"", ""Iron"", ""Carbon monoxide alarm""]",200.0,60,180,1,23,53,83,173,2024-12-29,64,0,0,4.91,4.9,4.98,4.89,4.92,5.0,4.9,0,1.0,1,0,0,0.42
185732,20241229042348,880366,2011-07-27,10.0,0.0,0,1,Highlands,Highlands,48.50589,-123.46357,Private room in home,Private room,5,1.0,2.0,2.0,"[""Free parking on premises"", ""Hair dryer"", ""Smoke alarm"", ""Backyard"", ""Patio or balcony"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shampoo"", ""High chair"", ""Essentials"", ""Heating"", ""Dryer"", ""Children\u2019s books and toys"", ""Private entrance"", ""TV with standard cable"", ""Hot water"", ""Indoor fireplace"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Hot tub"", ""Dishwasher"", ""Gym"", ""Breakfast"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Lake access""]",199.0,1,365,1,30,60,90,365,2024-12-29,52,0,0,4.72,4.67,4.65,4.82,4.88,4.61,4.61,0,3.0,0,3,0,0.32
193366,20241229042348,937766,2011-08-07,75.0,100.0,0,1,Rockland,Victoria,48.42574,-123.3376,Entire guest suite,Entire home/apt,6,2.0,2.0,3.0,"[""Free parking on premises"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Backyard"", ""Refrigerator"", ""Shampoo"", ""Self check-in"", ""Essentials"", ""Heating"", ""Dryer"", ""TV with standard cable"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Pets allowed"", ""First aid kit"", ""Dedicated workspace"", ""Cooking basics"", ""Washer"", ""Keypad"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens""]",135.0,30,365,1,14,17,44,259,2024-12-29,157,1,0,4.75,4.83,4.78,4.92,4.89,4.88,4.76,1,1.0,1,0,0,1.0
201427,20241229042348,880366,2011-07-27,10.0,0.0,0,1,Highlands,Highlands,48.50459,-123.46259,Private room in home,Private room,3,1.0,1.0,1.0,"[""Free parking on premises"", ""Indoor fireplace"", ""Hangers"", ""Fire extinguisher"", ""Smoke alarm"", ""Wifi"", ""Washer"", ""Essentials"", ""Hot tub"", ""Heating"", ""Dryer"", ""Children\u2019s books and toys"", ""Private entrance"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Gym"", ""Host greets you"", ""Hot water""]",69.0,1,730,1,30,60,90,363,2024-12-29,51,0,0,4.63,4.8,4.78,4.96,5.0,4.58,4.68,0,3.0,0,3,0,0.34
201441,20241229042348,880366,2011-07-27,10.0,0.0,0,1,Highlands,Highlands,48.50474,-123.46352,Private room in home,Private room,2,1.0,1.0,1.0,"[""Free parking on premises"", ""Smoke alarm"", ""Host greets you"", ""Luggage dropoff allowed"", ""High chair"", ""Essentials"", ""Heating"", ""Dryer"", ""Children\u2019s books and toys"", ""Private entrance"", ""TV with standard cable"", ""Hot water"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Hot tub"", ""Gym"", ""Breakfast"", ""Washer"", ""Iron"", ""Carbon monoxide alarm""]",139.0,1,365,1,30,60,90,365,2024-12-29,12,0,0,4.67,4.67,4.75,4.75,4.75,4.5,4.58,0,3.0,0,3,0,0.1
203416,20241229042348,997424,2011-08-20,100.0,98.0,0,1,Southern Gulf Islands,Southern Gulf Islands,48.86572,-123.35163,Entire cabin,Entire home/apt,2,1.0,1.0,2.0,"[""Sea view"", ""Free parking on premises"", ""Mountain view"", ""Dishes and silverware"", ""Hair dryer"", ""Backyard"", ""Refrigerator"", ""Shampoo"", ""Garden view"", ""Essentials"", ""Oven"", ""Heating"", ""Private patio or balcony"", ""Hot water"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Private hot tub"", ""Pets allowed"", ""Dedicated workspace"", ""Ocean view"", ""Cooking basics"", ""Extra pillows and blankets"", ""Bed linens"", ""Coffee maker"", ""Stove""]",147.0,4,30,1,15,30,59,59,2024-12-29,457,29,3,4.92,4.87,4.85,4.92,4.9,4.95,4.85,1,2.0,2,0,0,3.1
226028,20241229042348,1178351,2011-09-19,100.0,100.0,1,1,Fernwood,Victoria,48.42654,-123.35134,Entire home,Entire home/apt,3,1.0,1.0,2.0,"[""Free parking on premises"", ""Outdoor furniture"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Cleaning products"", ""Sound system with aux"", ""Ethernet connection"", ""Radiant heating"", ""Refrigerator"", ""Outdoor dining area"", ""Free street parking"", ""Host greets you"", ""Shared beach access"", ""Luggage dropoff allowed"", ""Induction stove"", ""Dining table"", ""Natural unscented body soap"", ""Natural unscented shampoo"", ""Outlet covers"", ""Essentials"", ""Toaster"", ""Blender"", ""Cleaning available during stay"", ""Private entrance"", ""36 inch HDTV with Amazon Prime Video, Chromecast, Netflix, standard cable"", ""Private patio or balcony"", ""Hot water kettle"", ""Hot water"", ""Books and reading material"", ""Shower gel"", ""Ceiling fan"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Baking sheet"", ""Pets allowed"", ""Coffee"", ""Dishwasher"", ""Clothing storage: closet and dresser"", ""Free dryer \u2013 In unit"", ""Free washer \u2013 In unit"", ""Barbecue utensils"", ""Dedicated workspace"", ""Cooking basics"", ""Private BBQ grill: gas"", ""Drying rack for clothing"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Wine glasses"", ""Natural unscented conditioner"", ""Private backyard \u2013 Fully fenced"", ""Freezer""]",110.0,30,1125,1,0,0,5,37,2024-12-29,259,2,0,4.88,4.94,4.9,4.94,4.92,4.73,4.77,0,2.0,2,0,0,1.61
237053,20241229042348,1216332,2011-09-27,100.0,85.0,0,1,James Bay,Victoria,48.4121,-123.37014,Private room in home,Private room,2,1.0,1.0,1.0,"[""Hair dryer"", ""Smoke alarm"", ""Patio or balcony"", ""Room-darkening shades"", ""Lock on bedroom door"", ""Free street parking"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shampoo"", ""Essentials"", ""Heating"", ""Private entrance"", ""Clothing storage"", ""TV with standard cable"", ""Hot water"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Extra pillows and blankets"", ""Bed linens""]",89.0,2,180,1,29,59,89,364,2024-12-29,266,3,0,4.67,4.78,4.83,4.88,4.79,4.91,4.74,0,2.0,0,2,0,1.65
250576,20241229042348,911586,2011-08-02,100.0,100.0,1,1,Hillside/Quadra,Victoria,48.44196,-123.35599,Private room in home,Private room,2,1.0,1.0,1.0,"[""Hangers"", ""Wifi"", ""Hair dryer"", ""Smoke alarm"", ""Microwave"", ""Dishes and silverware"", ""Essentials"", ""Backyard"", ""Iron"", ""Refrigerator"", ""Coffee maker"", ""Heating"", ""Free street parking"", ""Shampoo""]",60.0,1,1125,1,17,35,48,133,2024-12-29,199,13,6,4.79,4.83,4.83,4.92,4.9,4.68,4.81,0,2.0,0,2,0,1.31
